source_dataset,station_id,latitude,longitude,height,topo_free_disturbance,G_ref
AP,TENE120,28.0796,-16.6396,604.1705216335449,247.16801242070264,247.16801242070264
AP,TENE121,28.0977,-16.6552,522.1171801834106,256.4982055797102,256.4982055797102
AP,TENE122,28.0977,-16.6435,591.31615825737,254.55714350858497,254.55714350858497
AP,TENE123,28.0997,-16.6388,724.1593009400024,252.90908304114663,252.90908304114663
AP,TENE124,28.1228,-16.6436,1134.9847976074218,257.31600223712667,257.31600223712667
AP,TENE125,28.0816,-16.6781,400.3720203170776,252.70002557988573,252.70002557988573
AP,TENE126,28.0841,-16.6896,464.3843876693114,252.81201667896795,252.81201667896795
AP,TENE127,28.0921,-16.6899,568.5728674067535,256.23559124799374,256.23559124799374
AP,TENE128,28.1001,-16.667,651.1610798039245,255.7818789368806,255.7818789368806
AP,TENE129,28.1004,-16.6768,686.4326390021972,255.03681735336448,255.03681735336448
AP,TENE130,28.0945,-16.6847,612.2600699091338,254.14779785045684,254.14779785045684
AP,TENE131,28.1077,-16.6862,755.4583589269105,260.0449681378413,260.0449681378413
AP,TENE132,28.1135,-16.6787,878.2244788620757,263.04113470489534,263.04113470489534
AP,TENE133,28.123,-16.63,1067.1647978210449,252.7755088538903,252.7755088538903
AP,TENE134,28.1379,-16.6363,1258.1939782943723,258.60122112846614,258.60122112846614
AP,TENE135,28.1109,-16.6251,864.4805882103119,249.3252149038484,249.3252149038484
AP,TENE136,28.1221,-16.6219,998.0161989746092,251.0599135010421,251.0599135010421
AP,TENE137,28.1052,-16.6102,697.7905202178955,244.3955699143073,244.3955699143073
AP,TENE138,28.0982,-16.627,679.497799972534,247.70452747773743,247.70452747773743
AP,TENE139,28.0948,-16.6122,572.6627524516601,242.74150408587087,242.74150408587087
AP,TENE140,28.0973,-16.5832,557.0473326370849,233.5333209614689,233.5333209614689
AP,TENE141,28.1451,-16.5989,1160.96459316745,253.8962736537013,253.8962736537013
AP,TENE142,28.153,-16.5964,1278.4959193267823,255.7170422308248,255.7170422308248
AP,TENE143,28.1586,-16.5936,1355.674878890991,255.9824809791897,255.9824809791897
AP,TENE144,28.1256,-16.6771,1071.6953989562987,263.6976318898742,263.6976318898742
AP,TENE145,28.1289,-16.6918,1074.089710733368,263.4178433299761,263.4178433299761
AP,TENE146,28.1446,-16.754,439.6575986785888,261.9911725790324,261.9911725790324
AP,TENE147,28.1498,-16.727,975.0884327532958,272.8710748666449,272.8710748666449
AP,TENE148,28.1524,-16.7353,871.0368076895752,271.60678440848915,271.60678440848915
AP,TENE149,28.1543,-16.7593,530.5524588636628,261.7331424720156,261.7331424720156
AP,TENE150,28.1591,-16.7305,929.609709922638,274.5110827522506,274.5110827522506
AP,TENE151,28.1714,-16.7305,1065.9092415690611,280.966955641068,280.966955641068
AP,TENE152,28.2346,-16.6299,2225.260594865326,267.51123296990534,267.51123296990534
AP,TENE153,28.374,-16.4639,1948.7976208703608,244.47028440130416,244.47028440130416
AP,TENE154,28.3583,-16.674,708.0298376922608,239.2291841812209,239.2291841812209
AP,TENE155,28.3277,-16.804,1045.657436370239,257.86248523753466,257.86248523753466
AP,TENE156,28.4782,-16.2633,363.30821756692507,216.62981636987075,216.62981636987075
AP,TENE157,28.2727,-16.7286,1867.8144191741944,262.4971110049283,262.4971110049283
AP,TENE158,28.1588,-16.6369,1461.387399692566,269.2712288916088,269.2712288916088
AP,TENE159,28.3092,-16.4998,2417.570077618164,250.8699107958016,250.8699107958016
CSIC,3RDB,28.23467194,-16.6298307,2224.2171,266.70913895459034,267.1605337162018
CSIC,CAMI1,28.33027952,-16.5320114,1627.8385,254.4648681360948,254.91626289770625
CSIC,CAMI2,28.33115231,-16.52385337,1717.3973,254.57525580480703,255.02665056641848
CSIC,CAMI3,28.33688079,-16.50579751,1818.4715,253.92854519265435,254.3799399542658
CSIC,CAMI4,28.32786663,-16.5105177,1957.0007,256.11300786650054,256.564402628112
CSIC,CAMI5,28.3197011,-16.51381376,2011.3112,254.4509391623664,254.90233392397784
CSIC,CAMI6,28.32061618,-16.5023996,2121.0476,251.869058230217,252.3204529918285
CSIC,CAMI7,28.307786,-16.51819795,2302.5062,250.2507172882292,250.70211204984065
CSIC,CAMI8,28.28732827,-16.51274691,2233.0811,256.9954525851898,257.4468473468013
CSIC,CAMI9,28.297288,-16.5113629,2379.405,251.18986632662825,251.6412610882397
CSIC,CARA,28.30684047,-16.53620543,2263.927,253.7272910695596,254.178685831171
CSIC,CHIP,28.37399983,-16.46387039,1946.8109,243.7348367150549,244.1862314766664
CSIC,FA00,28.28097303,-16.51485468,2222.5816,258.0135703714425,258.464965133054
CSIC,FA01,28.28096989,-16.51502158,2222.7936,258.32253848350945,258.77393324512093
