,Unnamed: 0,Station ID,E(m),N(m),longitude,latitude,height_geoid,obsG,BO(mGal),Error(mGal),height_ell,gamma,G_disturbance,terrain_effect,topo_free_disturbance
135,135,TENE136,340703.8,3111789.9,-16.6219,28.1221,951.4,979203.615,236.079,0.01,998.0161989746092,978872.7558854417,330.85911455831956,79.79920105727747,251.0599135010421
136,136,TENE137,341824.47,3109907.67,-16.6102,28.1052,651.6,979261.076,231.093,0.01,697.7905202178955,978964.1247638215,296.9512361785164,52.555666264209066,244.39556991430734
137,137,TENE138,340164.45,3109150.69,-16.627,28.0982,633.4,979268.007,234.59,0.01,679.497799972534,978969.2443189318,298.76268106815405,51.058153590416616,247.70452747773743
138,138,TENE139,341607.8,3108759.11,-16.6122,28.0948,526.7,979285.27,229.89,0.01,572.6627524516601,979001.957605472,283.31239452806767,40.5708904421968,242.74150408587087
139,139,TENE140,344466.7,3108993.07,-16.5832,28.0973,511.2,979280.667,220.949,0.01,557.0473326370849,979006.9640926507,273.70290734933224,40.16958638786329,233.53332096146895
140,140,TENE141,342996.76,3114312.83,-16.5989,28.1451,1114.0,979171.053,238.147,0.011,1160.96459316745,978824.2093581358,346.84364186413586,92.94736821043452,253.89627365370134
141,141,TENE142,343244.95,3115183.94,-16.5964,28.153,1231.4,979148.946,239.645,0.011,1278.4959193267823,978788.543838574,360.4021614260273,104.68511919520256,255.71704223082475
142,142,TENE143,343531.94,3115796.33,-16.5936,28.1586,1308.5,979132.067,239.44,0.011,1355.674878890991,978765.1556028571,366.91139714291785,110.92891616372818,255.9824809791897
143,143,TENE144,335282.69,3112251.37,-16.6771,28.1256,1025.0,979200.421,248.783,0.005,1071.6953989562987,978850.2862730164,350.1347269836115,86.43709509373728,263.6976318898742
144,144,TENE145,333843.76,3112635.94,-16.6918,28.1289,1027.4,979197.485,248.651,0.004,1074.089710733368,978849.7953413103,347.6896586896619,84.27181535968576,263.4178433299761
145,145,TENE146,327754.04,3114461.2,-16.754,28.1446,393.3,979334.039,250.121,0.003,439.6575986785888,979046.7424797859,287.2965202140622,25.305347635029783,261.9911725790324
146,146,TENE147,330414.07,3114999.38,-16.727,28.1498,928.3,979230.107,258.686,0.005,975.0884327532958,978881.9102221784,348.1967778215185,75.32570295487358,272.8710748666449
147,147,TENE148,329609.93,3115300.11,-16.7353,28.1524,824.3,979251.693,257.761,0.009,871.0368076895752,978914.2104627903,337.4825372096384,65.87575280114922,271.60678440848915
148,148,TENE149,327257.9,3115543.43,-16.7593,28.1543,484.1,979315.848,249.46,0.005,530.5524588636628,979019.4199331447,296.4280668552965,34.6949243832809,261.7331424720156
149,149,TENE150,330090.9,3116033.58,-16.7305,28.1591,882.7,979240.447,258.74,0.004,929.609709922638,978896.6411121496,343.8058878504671,69.29480509821649,274.5110827522506
150,150,TENE151,330110.43,3117403.14,-16.7305,28.1714,1018.8,979220.294,265.9,0.003,1065.9092415690611,978855.5120072825,364.78199271752965,83.8150370764616,280.966955641068
151,151,TENE152,340084.5,3124271.3,-16.6299,28.2346,2177.0,978962.965,246.854,0.023,2225.260594865326,978502.6723733855,460.29262661444955,192.78139364454424,267.51123296990534
152,152,TENE153,356558.7,3139503.6,-16.4639,28.374,1902.0,978988.902,225.689,0.012,1948.7976208703608,978598.4383359521,390.4636640478857,145.99337964658153,244.47028440130416
153,153,TENE154,335945.5,3138032.7,-16.674,28.3583,661.0,979269.012,225.452,0.004,708.0298376922608,978980.0146133238,288.9973866761429,49.768202494922,239.22918418122092
