,Unnamed: 0,Island,Station ID,latitude,longitude,height_geoid,height_ell,Precision,obsG,gamma,G_disturbance,terrain_effect,topo_free_disturbance
79,79,Tenerife,942014,28.141111111111112,-16.62138888888889,1165.6129,1212.6239,,979165.07,978807.9723439361,357.0976560638519,98.48079324010206,258.61686282374984
80,80,Tenerife,942015,28.140833333333333,-16.61888888888889,1205.5867,1252.5832,0.05,979154.25,978795.6239123287,358.6260876712622,102.1988593745537,256.4272282967085
81,81,Tenerife,942016,28.14555555555556,-16.62472222222222,1257.5939,1304.7049,0.05,979149.02,978779.899256295,369.12074370507617,108.09688872875812,261.02385497631803
82,82,Tenerife,942017,28.147777777777776,-16.62777777777778,1289.8332,1336.9992,0.05,979143.72,978770.1037116335,373.6162883664947,111.23532659995438,262.38096176654034
83,83,Tenerife,942018,28.1525,-16.633888888888887,1335.9445,1383.2187,0.05,979136.63,978756.2004715601,380.42952843988314,115.68297553127334,264.74655290860983
84,84,Tenerife,942019,28.15305555555556,-16.639444444444443,1376.8301,1424.1206,0.05,979127.0,978743.6248661678,383.3751338322181,119.2552750620048,264.11985877021334
85,85,Tenerife,943003,28.242222222222225,-16.79638888888889,731.9612,778.8987,0.05,979261.38,978949.3958810107,311.98411898931954,58.64317119206559,253.34094779725396
86,86,Tenerife,943004,28.238333333333333,-16.790277777777778,780.7143,827.7201,0.05,979252.04,978934.0385597273,318.00144027278293,63.21455054727406,254.78688972550887
87,87,Tenerife,943005,28.23555555555556,-16.784444444444446,819.9248,867.0015,0.05,979244.8,978921.7088569993,323.0911430007545,66.8500221651148,256.2411208356397
88,88,Tenerife,943006,28.230277777777776,-16.778055555555554,864.1802,911.3111,0.05,979238.25,978907.6397770277,330.6102229723474,70.67440621737686,259.9358167549706
89,89,Tenerife,943007,28.22805555555556,-16.77,912.6381,959.8683,0.05,979231.21,978892.4904161267,338.7195838732878,74.72186209493144,263.9977217783563
90,90,Tenerife,943009,28.225,-16.760833333333334,977.31,1024.6437,0.05,979220.36,978872.2748267131,348.08517328684684,80.97095420605828,267.11421908078853
91,91,Tenerife,943010,28.223888888888887,-16.753611111111113,1033.4044,1080.8275,0.05,979212.01,978854.8568977433,357.1531022567069,86.18635727600893,270.96674498069797
92,92,Tenerife,943011,28.229444444444443,-16.759444444444444,1082.0348,1129.4208,0.05,979197.27,978840.282945048,356.98705495207105,90.6328236109188,266.35423134115223
93,93,Tenerife,943012,28.235833333333336,-16.759444444444444,1129.5746,1177.0013,0.05,979186.48,978826.0845805517,360.3954194482649,94.81502608536066,265.5803933629042
