,Unnamed: 0,Station Name,latitude,longitude,height,obsG,SD,Survey Date,gamma,G_disturbance,terrain_effect,topo_free_disturbance
55,55,GUI31,28.31632788,-16.47238923,1719.4983,979056.35941,0.1045799999999999,2024/10/07,978664.8050538148,391.5543561851373,138.92254147970291,252.63181470543438
56,56,GUI32,28.31240911,-16.48017681,1837.4177,979031.70846,0.11498,2024/10/07,978628.1404830305,403.5679769695271,150.68429067782304,252.88368629170404
57,57,GUI33,28.31464118,-16.48716295,1996.1881,978997.19667,0.12562,2024/10/07,978579.3435886669,417.8530813331017,163.2365086562268,254.61657267687494
58,58,GUI34,28.32369081,-16.48473048,2093.4428,978970.6108,0.13783,2024/10/07,978550.0343608407,420.5764391592238,168.6981117664282,251.8783273927956
59,59,IPNA_out,28.4795576,-16.32038175,607.7105,979297.09166,0.18343,2024/04/03,979020.1375804108,276.954079589108,46.00410163539689,230.9499779537111
60,60,IZAN,28.30915,-16.49975,2417.5,978891.79408,0.00173,2024/05/09,978449.0134434947,442.7806365053402,191.7273682928088,251.05326821253144
61,61,LM001,28.29209641,-16.53970616,2334.4456,978930.01842,0.08319,2024/04/02,978473.336352331,456.68206766899675,198.9448662023159,257.73720146668086
62,62,LM002,28.28821323,-16.53995801,2349.5782,978926.98295,0.09286,2024/04/02,978468.3776432732,458.60530672688037,200.2382913538389,258.36701537304145
63,63,LM003,28.28938782,-16.54212119,2336.9749,978929.89694,0.09512,2024/04/02,978472.3522930663,457.5446469336748,199.44095023100385,258.10369670267096
64,64,LM005,28.28943726,-16.54642737,2334.4915,978930.83628,0.09211,2024/04/02,978473.1217565543,457.714523445582,199.39043475941804,258.324088686164
65,65,LM006,28.28712044,-16.53803066,2360.8992,978922.16624,0.08495,2024/04/02,978464.804566543,457.36167345708236,200.95581847207777,256.40585498500457
66,66,LM007_G1,28.29254627,-16.54547421,2329.6835,978931.00583,0.0615,2024/07/08,978474.8386219417,456.1672080582939,198.595291333792,257.5719167245019
67,67,LM008_G3,28.29257337,-16.54496238,2329.1694,978931.99603,0.07521,2024/07/08,978474.999183932,456.996846067952,198.5483207880125,258.44852527993953
68,68,LM009_G5,28.2926566,-16.54444768,2329.4437,978931.98641,0.08206,2024/07/08,978474.9208794516,457.06553054845426,198.57185621538247,258.4936743330718
69,69,LM010_G7,28.29273856,-16.54395066,2329.6925,978931.90651,0.0835699999999999,2024/07/08,978474.8503420141,457.0561679858947,198.5953432721238,258.4608247137709
70,70,LM011_G9,28.29282532,-16.54345617,2330.1468,978930.87703,0.0802099999999999,2024/07/08,978474.7168019544,456.16022804554086,198.62383423716503,257.5363938083758
71,71,LM012_G11,28.29299981,-16.54295761,2331.2056,978930.84384,0.07085,2024/07/08,978474.4034819856,456.44035801442806,198.68070896275069,257.75964905167734
72,72,LM013_G13,28.29307302,-16.54244497,2332.0551,978931.03673,0.06094,2024/07/09,978474.1470635964,456.8896664036438,198.7426369048259,258.1470294988179
73,73,LM014_G15,28.29316032,-16.54194801,2332.2189,978930.01818,0.07393,2024/07/09,978474.1031379629,455.9150420370279,198.75237901000625,257.1626630270216
74,74,LM015_G17,28.29327066,-16.54145801,2332.8884,978930.02147,0.07892,2024/07/09,978473.9050203513,456.1164496487472,198.7484145443702,257.368035104377
