Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,10935015,28.05027777777778,-16.62361111111111,141.5831,no encontrada,no encontrada,979357.23
Tenerife,10935016,28.050555555555555,-16.62361111111111,145.677,no encontrada,no encontrada,979355.47
Tenerife,10935017,28.050555555555555,-16.62361111111111,146.0857,no encontrada,no encontrada,979356.39
Tenerife,10935018,28.05138888888889,-16.611944444444447,133.0762,no encontrada,no encontrada,979357.05
Tenerife,10935019,28.051944444444445,-16.60888888888889,126.4038,no encontrada,no encontrada,979356.74
Tenerife,10935020,28.053055555555556,-16.598055555555554,132.8946,no encontrada,no encontrada,979353.02
Tenerife,10935021,28.05527777777778,-16.59111111111111,142.5432,187275,0.05,979352.14
Tenerife,10935022,28.055,-16.59111111111111,142.2982,no encontrada,no encontrada,979352.15
Tenerife,10935023,28.056944444444444,-16.585555555555555,144.7292,no encontrada,no encontrada,979351.2
Tenerife,10935024,28.059444444444445,-16.579444444444444,140.9274,no encontrada,no encontrada,979351.63
Tenerife,10935025,28.06277777777778,-16.57361111111111,135.0054,no encontrada,no encontrada,979352.56
Tenerife,10935026,28.063055555555557,-16.573888888888888,136.9795,no encontrada,no encontrada,979352.1
Tenerife,10935027,28.064444444444444,-16.57111111111111,138.423,183321,0.05,979351.51
Tenerife,10935028,28.068055555555556,-16.56277777777778,158.0336,203132,0.05,979346.54
Tenerife,10935029,28.060277777777777,-16.7,113.8202,160475,0.05,979372.93
Tenerife,10935030,28.059166666666666,-16.690833333333334,153.2892,199106,0.05,979363.14
Tenerife,10935031,28.05527777777778,-16.68305555555556,122.3232,164239,0.05,979368.76
Tenerife,10936001,28.425833333333333,-16.497500000000002,550.3128,311517,0.05,979300.84
Tenerife,10936002,28.48888888888889,-16.316111111111113,550.3147,594963,0.05,979300.53
Tenerife,10936003,28.48888888888889,-16.31638888888889,561.4062,no encontrada,no encontrada,979300.68
